date,index,band_lower,band_upper,capital_flow,revenue_reality,model_economics,narrative,macro_liquidity,dispersion,crowding,volatility,pricing_pressure,expectation_load
1983-11-11,60.00745170547621,42.476314411587566,77.53858899936485,,47.61106564305517,72.40383776789724,,,,,92.20028081506632,,
1983-11-18,77.23692747323219,71.30566428619251,83.16819066027186,,73.04289105267429,81.43096389379008,,,,,77.20602373659763,,
1983-11-25,72.70667553200354,63.47630369704136,81.93704736696573,,66.17981701462847,79.23353404937862,,,,,63.760692146662024,,
1983-12-02,70.61392985182388,69.25319482293209,71.97466488071568,,71.57611481815134,69.65174488549641,,,,,80.0750242992904,,
1983-12-09,74.13559870097711,73.4138166550854,74.85738074686883,,73.62522172178839,74.64597568016585,,,,,8.479789084894689,,
1983-12-16,73.87944888997649,39.53764994773385,100.0,,49.5961299797717,98.16276780018126,,,,50.0,3.7246996345116026,,
1983-12-23,74.13061070229044,38.62210045100361,100.0,,49.02230231377349,99.2389190908074,,,,50.0,1.9524237441186674,,
1983-12-30,68.34376079405627,24.801116448213556,100.0,,37.55446170631681,99.13305988179573,,,,2.3165403870238506,0.5323218125136332,,
1984-01-06,69.83816550160202,35.62707465030359,100.0,,45.64727116885984,94.0290598343442,,,,1.948786730192734,1.517721232033576,,
1984-01-13,63.381253769320324,60.893219359638955,65.86928817900169,,65.14055977223148,61.62194776640916,,,,3.832710814936365,1.9848178711846025,,
1984-01-20,54.19601664793558,33.064086012265044,75.32794728360611,,69.13854809998196,39.25348519588919,,,,14.91302869101458,3.0283458312900335,,
1984-01-27,53.8806527509787,45.46830646479928,62.29299903715812,,47.93222564633176,59.829079855625636,,,,24.494515298115783,15.292668103948378,,
1984-02-03,52.135506561808434,12.469512835600767,91.8015002880161,,24.087413415503942,80.18359970811292,,,,28.734883789920268,13.399232344013878,,
1984-02-10,56.648207002458065,10.56609985218553,100.0,,24.063236545135265,89.23317745978086,,,,7.905375023798418,34.08500904719577,,
1984-02-17,55.50737076325723,11.196619967957922,99.81812155855653,,24.17493839643388,86.83980313008057,,,,3.040935063730065,45.336835347475066,,
